DateTime,RH [%],Temperature [°C],WBT_C
2023-12-01 00:05:34.000,64.1,30.5,25.1
2023-12-01 00:15:34.000,64.1,30.4,25
2023-12-01 00:25:34.000,65.1,30.3,25.1
2023-12-01 00:35:34.000,65,30.3,25.1
2023-12-01 00:45:34.000,64.8,30.3,25.1
2023-12-01 00:55:35.000,64.9,30.4,25.1
2023-12-01 01:05:35.000,65.1,30.3,25.1
2023-12-01 01:15:35.000,65,30.4,25.2
2023-12-01 01:25:35.000,64.8,30.5,25.2
2023-12-01 01:35:35.000,64.9,30.5,25.2
2023-12-01 01:45:35.000,65.4,30.4,25.2
2023-12-01 01:55:35.000,65.3,30.3,25.2
2023-12-01 02:05:35.000,65.6,30.3,25.2
2023-12-01 02:15:35.000,66.5,30.1,25.2
2023-12-01 02:25:35.000,67.1,30.1,25.2
2023-12-01 02:35:35.000,67.3,30,25.1
2023-12-01 02:45:35.000,67.8,29.9,25.2
2023-12-01 02:55:35.000,68.1,29.9,25.2
2023-12-01 03:05:35.000,68.9,29.8,25.3
2023-12-01 03:15:35.000,68.1,29.8,25.1
2023-12-01 03:25:35.000,68.9,29.7,25.1
2023-12-01 03:35:35.000,68.7,29.7,25.1
2023-12-01 03:45:35.000,69.3,29.6,25.2
2023-12-01 03:55:35.000,69.4,29.7,25.2
2023-12-01 04:05:35.000,69.9,29.7,25.3
2023-12-01 04:15:35.000,69.8,29.6,25.2
2023-12-01 04:25:35.000,68.9,29.7,25.2
2023-12-01 04:35:35.000,68.2,29.7,25
2023-12-01 04:45:35.000,68.5,29.7,25.1
2023-12-01 04:55:35.000,68.2,29.7,25
2023-12-01 05:05:35.000,68.7,29.6,25
2023-12-01 05:15:35.000,69,29.5,25
2023-12-01 05:25:35.000,69.3,29.4,24.9
2023-12-01 05:35:35.000,69.5,29.4,25
2023-12-01 05:45:35.000,69.1,29.4,24.9
2023-12-01 05:55:35.000,69.3,29.3,24.8
2023-12-01 06:05:36.000,70.4,29.3,25
2023-12-01 06:15:35.000,71.1,29.2,25
2023-12-01 06:25:35.000,71.2,29.1,25
2023-12-01 06:35:35.000,72.3,29.1,25.1
2023-12-01 06:45:35.000,72.4,29,25
2023-12-01 06:55:35.000,72.2,29,25
2023-12-01 07:05:35.000,72.2,29,25
2023-12-01 07:15:35.000,71.9,29,25
2023-12-01 07:25:35.000,71.8,29,25
2023-12-01 07:35:35.000,72.5,29,25.1
2023-12-01 07:45:35.000,72.3,29,25.1
2023-12-01 07:55:35.000,71.5,29.1,25
2023-12-01 08:05:35.000,72.2,29.2,25.2
2023-12-01 08:15:35.000,71.9,29.2,25.2
2023-12-01 08:25:35.000,72.2,29.2,25.2
2023-12-01 08:35:35.000,72,29.2,25.2
2023-12-01 08:45:35.000,72,29.3,25.3
2023-12-01 08:55:35.000,71.8,29.3,25.3
2023-12-01 09:05:35.000,71.7,29.5,25.4
2023-12-01 09:15:35.000,72.1,29.5,25.5
2023-12-01 09:25:35.000,72.1,29.5,25.5
2023-12-01 09:35:35.000,70.7,29.6,25.3
2023-12-01 09:45:35.000,70.7,29.7,25.5
2023-12-01 09:55:35.000,71.3,29.8,25.6
2023-12-01 10:05:35.000,72,29.8,25.8
2023-12-01 10:15:35.000,71.7,29.9,25.8
2023-12-01 10:25:35.000,69.6,30,25.6
2023-12-01 10:35:35.000,69.7,30.2,25.7
2023-12-01 10:45:35.000,69.6,30.2,25.8
2023-12-01 10:55:35.000,70.6,30.2,25.9
2023-12-01 11:05:35.000,72.6,30.5,26.4
2023-12-01 11:15:35.000,71.9,30.8,26.6
2023-12-01 11:25:35.000,73.4,30.9,27
2023-12-01 11:35:35.000,72.7,30.9,26.9
2023-12-01 11:45:35.000,71.7,31,26.8
2023-12-01 11:55:35.000,71.9,30.9,26.7
2023-12-01 12:05:35.000,71.8,31.1,26.9
2023-12-01 12:15:35.000,73.3,31.2,27.3
2023-12-01 12:25:35.000,73.6,31.2,27.3
2023-12-01 12:35:35.000,73.2,31,27.1
2023-12-01 12:45:35.000,73.6,31.3,27.3
2023-12-01 12:55:35.000,72.2,31.4,27.3
2023-12-01 13:05:35.000,73,31.4,27.4
2023-12-01 13:15:35.000,72.2,31.3,27.2
2023-12-01 13:25:35.000,73.6,31.4,27.4
2023-12-01 13:35:35.000,73.2,31.5,27.5
2023-12-01 13:45:35.000,72.7,31.5,27.4
2023-12-01 13:55:35.000,73.5,31.3,27.4
2023-12-01 14:05:35.000,73,31.3,27.2
2023-12-01 14:15:36.000,74.4,31.1,27.4
2023-12-01 14:25:36.000,74.5,31.2,27.4
2023-12-01 14:35:36.000,74.3,31.1,27.3
2023-12-01 14:45:36.000,73.3,31.2,27.2
2023-12-01 14:55:36.000,74,31.1,27.3
2023-12-01 15:05:36.000,73.6,31.2,27.2
2023-12-01 15:15:36.000,75.2,31,27.4
2023-12-01 15:25:36.000,75.2,31,27.3
2023-12-01 15:35:36.000,75.8,31,27.4
2023-12-01 15:45:36.000,75.8,30.9,27.4
2023-12-01 15:55:36.000,75.6,31,27.4
2023-12-01 16:05:36.000,76.1,30.8,27.3
2023-12-01 16:15:36.000,76.4,30.8,27.4
2023-12-01 16:25:36.000,76.5,30.7,27.3
2023-12-01 16:35:36.000,77.5,30.7,27.4
2023-12-01 16:45:36.000,77.1,30.7,27.3
2023-12-01 16:55:36.000,77.8,30.6,27.4
2023-12-01 17:05:36.000,77.8,30.5,27.3
2023-12-01 17:15:36.000,78.5,30.4,27.3
2023-12-01 17:25:36.000,79.4,30.4,27.4
2023-12-01 17:35:36.000,80.1,30.3,27.4
2023-12-01 17:45:36.000,81.7,30.3,27.6
2023-12-01 17:55:36.000,79.7,30.2,27.3
2023-12-01 18:05:36.000,80.3,30.2,27.4
2023-12-01 18:15:36.000,81.5,30.2,27.5
2023-12-01 18:25:36.000,82.1,30.1,27.6
2023-12-01 18:35:36.000,81.7,30.1,27.5
2023-12-01 18:45:36.000,81.2,30.2,27.5
2023-12-01 18:55:36.000,80.3,30.2,27.4
2023-12-01 19:05:36.000,80,30.2,27.4
2023-12-01 19:15:36.000,78.4,30.3,27.2
2023-12-01 19:25:36.000,76.4,30.5,27.1
2023-12-01 19:35:36.000,77.1,30.4,27.1
2023-12-01 19:45:36.000,74.3,30.6,26.8
2023-12-01 19:55:36.000,72.2,30.8,26.7
2023-12-01 20:05:36.000,72.3,30.8,26.7
2023-12-01 20:15:36.000,71,30.8,26.5
2023-12-01 20:25:36.000,71.4,30.8,26.6
2023-12-01 20:35:36.000,70.2,30.9,26.5
2023-12-01 20:45:36.000,70.3,30.9,26.5
2023-12-01 20:55:36.000,70,30.9,26.4
2023-12-01 21:05:36.000,70,30.9,26.4
2023-12-01 21:15:36.000,71,30.9,26.6
