DateTime,RH [%],Temperature [°C],WBT_C,Time,year,month,day,hour,minute,second
2024-03-01 00:00:42.000,68.4,30.8,26.1,2024-03-01 00:00:42,2024,3,1,0,0,42
2024-03-01 00:10:42.000,68.3,30.8,26.1,2024-03-01 00:10:42,2024,3,1,0,10,42
2024-03-01 00:20:42.000,68.3,30.8,26.0,2024-03-01 00:20:42,2024,3,1,0,20,42
2024-03-01 00:30:42.000,68.4,30.8,26.1,2024-03-01 00:30:42,2024,3,1,0,30,42
2024-03-01 00:40:42.000,68.6,30.7,26.0,2024-03-01 00:40:42,2024,3,1,0,40,42
2024-03-01 00:50:42.000,68.8,30.6,26.0,2024-03-01 00:50:42,2024,3,1,0,50,42
2024-03-01 01:00:42.000,68.8,30.6,26.0,2024-03-01 01:00:42,2024,3,1,1,0,42
2024-03-01 01:10:42.000,69.1,30.5,25.9,2024-03-01 01:10:42,2024,3,1,1,10,42
2024-03-01 01:20:42.000,69.0,30.5,25.9,2024-03-01 01:20:42,2024,3,1,1,20,42
2024-03-01 01:30:42.000,69.0,30.5,25.9,2024-03-01 01:30:42,2024,3,1,1,30,42
2024-03-01 01:40:42.000,70.0,30.3,25.8,2024-03-01 01:40:42,2024,3,1,1,40,42
2024-03-01 01:50:42.000,70.4,30.1,25.8,2024-03-01 01:50:42,2024,3,1,1,50,42
2024-03-01 02:00:42.000,71.6,29.9,25.8,2024-03-01 02:00:42,2024,3,1,2,0,42
2024-03-01 02:10:42.000,72.6,29.7,25.8,2024-03-01 02:10:42,2024,3,1,2,10,42
2024-03-01 02:20:42.000,72.6,29.9,25.9,2024-03-01 02:20:42,2024,3,1,2,20,42
2024-03-01 02:30:42.000,71.6,30.0,25.9,2024-03-01 02:30:42,2024,3,1,2,30,42
2024-03-01 02:40:42.000,71.7,30.0,25.8,2024-03-01 02:40:42,2024,3,1,2,40,42
2024-03-01 02:50:42.000,70.8,30.1,25.8,2024-03-01 02:50:42,2024,3,1,2,50,42
2024-03-01 03:00:42.000,71.3,30.0,25.8,2024-03-01 03:00:42,2024,3,1,3,0,42
2024-03-01 03:10:42.000,71.5,30.0,25.8,2024-03-01 03:10:42,2024,3,1,3,10,42
2024-03-01 03:20:42.000,72.0,29.9,25.9,2024-03-01 03:20:42,2024,3,1,3,20,42
2024-03-01 03:30:42.000,72.6,29.8,25.8,2024-03-01 03:30:42,2024,3,1,3,30,42
2024-03-01 03:40:42.000,72.4,29.8,25.8,2024-03-01 03:40:42,2024,3,1,3,40,42
2024-03-01 03:50:42.000,72.4,29.8,25.8,2024-03-01 03:50:42,2024,3,1,3,50,42
2024-03-01 04:00:42.000,72.6,29.8,25.8,2024-03-01 04:00:42,2024,3,1,4,0,42
2024-03-01 04:10:42.000,72.7,29.7,25.7,2024-03-01 04:10:42,2024,3,1,4,10,42
2024-03-01 04:20:43.000,72.4,29.8,25.8,2024-03-01 04:20:43,2024,3,1,4,20,43
2024-03-01 04:30:42.000,71.6,29.8,25.7,2024-03-01 04:30:42,2024,3,1,4,30,42
2024-03-01 04:40:42.000,73.2,29.5,25.6,2024-03-01 04:40:42,2024,3,1,4,40,42
2024-03-01 04:50:42.000,71.6,29.7,25.5,2024-03-01 04:50:42,2024,3,1,4,50,42
2024-03-01 05:00:42.000,71.5,29.7,25.6,2024-03-01 05:00:42,2024,3,1,5,0,42
2024-03-01 05:10:42.000,72.5,29.6,25.6,2024-03-01 05:10:42,2024,3,1,5,10,42
2024-03-01 05:20:43.000,72.5,29.7,25.7,2024-03-01 05:20:43,2024,3,1,5,20,43
2024-03-01 05:30:42.000,73.0,29.5,25.6,2024-03-01 05:30:42,2024,3,1,5,30,42
2024-03-01 05:40:42.000,73.1,29.5,25.7,2024-03-01 05:40:42,2024,3,1,5,40,42
2024-03-01 05:50:43.000,73.1,29.5,25.6,2024-03-01 05:50:43,2024,3,1,5,50,43
2024-03-01 06:00:43.000,72.4,29.5,25.5,2024-03-01 06:00:43,2024,3,1,6,0,43
2024-03-01 06:10:43.000,72.6,29.5,25.5,2024-03-01 06:10:43,2024,3,1,6,10,43
2024-03-01 06:20:43.000,71.3,29.7,25.5,2024-03-01 06:20:43,2024,3,1,6,20,43
2024-03-01 06:30:43.000,71.1,29.8,25.6,2024-03-01 06:30:43,2024,3,1,6,30,43
2024-03-01 06:40:43.000,71.0,29.8,25.5,2024-03-01 06:40:43,2024,3,1,6,40,43
2024-03-01 06:50:43.000,71.4,29.8,25.6,2024-03-01 06:50:43,2024,3,1,6,50,43
2024-03-01 07:00:43.000,71.7,29.7,25.6,2024-03-01 07:00:43,2024,3,1,7,0,43
2024-03-01 07:10:43.000,71.4,29.7,25.6,2024-03-01 07:10:43,2024,3,1,7,10,43
2024-03-01 07:20:43.000,71.3,29.8,25.7,2024-03-01 07:20:43,2024,3,1,7,20,43
2024-03-01 07:30:43.000,71.1,29.9,25.7,2024-03-01 07:30:43,2024,3,1,7,30,43
2024-03-01 07:40:43.000,71.3,29.9,25.7,2024-03-01 07:40:43,2024,3,1,7,40,43
2024-03-01 07:50:43.000,70.7,30.1,25.8,2024-03-01 07:50:43,2024,3,1,7,50,43
2024-03-01 08:00:43.000,70.3,30.3,25.9,2024-03-01 08:00:43,2024,3,1,8,0,43
2024-03-01 08:10:43.000,69.6,30.4,25.9,2024-03-01 08:10:43,2024,3,1,8,10,43
2024-03-01 08:20:43.000,69.1,30.5,25.9,2024-03-01 08:20:43,2024,3,1,8,20,43
2024-03-01 08:30:43.000,68.1,30.7,25.9,2024-03-01 08:30:43,2024,3,1,8,30,43
2024-03-01 08:40:43.000,66.6,30.8,25.8,2024-03-01 08:40:43,2024,3,1,8,40,43
2024-03-01 08:50:43.000,65.7,31.0,25.8,2024-03-01 08:50:43,2024,3,1,8,50,43
2024-03-01 09:00:43.000,64.5,31.2,25.8,2024-03-01 09:00:43,2024,3,1,9,0,43
2024-03-01 09:10:43.000,62.6,31.5,25.8,2024-03-01 09:10:43,2024,3,1,9,10,43
2024-03-01 09:20:43.000,64.9,31.6,26.3,2024-03-01 09:20:43,2024,3,1,9,20,43
2024-03-01 09:30:43.000,68.8,31.5,26.8,2024-03-01 09:30:43,2024,3,1,9,30,43
2024-03-01 09:40:43.000,68.0,31.6,26.7,2024-03-01 09:40:43,2024,3,1,9,40,43
2024-03-01 09:50:43.000,66.3,32.0,26.9,2024-03-01 09:50:43,2024,3,1,9,50,43
2024-03-01 10:00:43.000,67.5,32.1,27.1,2024-03-01 10:00:43,2024,3,1,10,0,43
2024-03-01 10:10:43.000,68.5,32.1,27.3,2024-03-01 10:10:43,2024,3,1,10,10,43
