DateTime,RH [%],Temperature [°C],WBT_C,Time,year,month,day,hour,minute,second
2024-08-01 00:01:26.000,80.2,30.1,27.3,2024-08-01 00:01:26,2024,8,1,0,1,26
2024-08-01 00:11:26.000,80.3,30.1,27.2,2024-08-01 00:11:26,2024,8,1,0,11,26
2024-08-01 00:21:26.000,80.4,30.0,27.2,2024-08-01 00:21:26,2024,8,1,0,21,26
2024-08-01 00:31:26.000,79.7,30.0,27.1,2024-08-01 00:31:26,2024,8,1,0,31,26
2024-08-01 00:41:27.000,78.5,29.9,26.8,2024-08-01 00:41:27,2024,8,1,0,41,27
2024-08-01 00:51:27.000,78.3,29.9,26.8,2024-08-01 00:51:27,2024,8,1,0,51,27
2024-08-01 01:01:27.000,78.0,29.9,26.8,2024-08-01 01:01:27,2024,8,1,1,1,27
2024-08-01 01:11:27.000,78.4,29.8,26.7,2024-08-01 01:11:27,2024,8,1,1,11,27
2024-08-01 01:21:27.000,78.6,29.9,26.8,2024-08-01 01:21:27,2024,8,1,1,21,27
2024-08-01 01:31:27.000,78.7,29.8,26.8,2024-08-01 01:31:27,2024,8,1,1,31,27
2024-08-01 01:41:27.000,79.1,29.9,26.9,2024-08-01 01:41:27,2024,8,1,1,41,27
2024-08-01 01:51:27.000,79.6,29.7,26.8,2024-08-01 01:51:27,2024,8,1,1,51,27
2024-08-01 02:01:27.000,79.2,29.7,26.7,2024-08-01 02:01:27,2024,8,1,2,1,27
2024-08-01 02:11:27.000,78.5,29.7,26.6,2024-08-01 02:11:27,2024,8,1,2,11,27
2024-08-01 02:21:27.000,77.9,29.7,26.5,2024-08-01 02:21:27,2024,8,1,2,21,27
2024-08-01 02:31:27.000,77.7,29.7,26.5,2024-08-01 02:31:27,2024,8,1,2,31,27
2024-08-01 02:41:27.000,77.8,29.7,26.5,2024-08-01 02:41:27,2024,8,1,2,41,27
2024-08-01 02:51:27.000,77.5,29.6,26.4,2024-08-01 02:51:27,2024,8,1,2,51,27
2024-08-01 03:01:27.000,77.6,29.7,26.5,2024-08-01 03:01:27,2024,8,1,3,1,27
2024-08-01 03:11:27.000,77.6,29.7,26.5,2024-08-01 03:11:27,2024,8,1,3,11,27
2024-08-01 03:21:27.000,77.7,29.6,26.4,2024-08-01 03:21:27,2024,8,1,3,21,27
2024-08-01 03:31:27.000,77.6,29.6,26.4,2024-08-01 03:31:27,2024,8,1,3,31,27
