,Time,RT,kW_Tot,kW_RT,CH Load,kW_CHH,kW_CHP,kW_CHS,kW_CDS,kW_CT,GPM,DeltaCHW,CHWS,CHWR,DeltaCDW,CDHI,CDLO,WBT,DeltaCT,Hz_ CHP,Hz_CHS,Hz_CDS,Hz_CT,Precent_CH,Precent_ CHP,Precent_CDS,Precent_CT,DateTime,RH [%],Temperature [°C],WBT_C,Time_Difference
0,2024-03-01 00:00:00,199.3,217.6,1.092,42.2,143.2,20.6,0,33.0,20.8,1292.5,3.7,46.3,50.0,4.2,84.0,79.8,72.7,-7.1,46,0,48,50,65.8,9.4,15.2,9.6,2024-03-01 00:00:42,68.4,30.8,26.1,42.0
1,2024-03-01 00:10:00,193.5,200.0,1.034,37.2,126.3,20.5,0,32.8,20.5,1290.1,3.6,46.4,50.0,4.1,83.6,79.5,72.7,-6.8,46,0,48,50,63.1,10.2,16.4,10.3,2024-03-01 00:10:42,68.3,30.8,26.1,42.0
2,2024-03-01 00:20:00,204.7,201.5,0.984,37.3,126.8,20.7,0,33.3,20.7,1292.5,3.8,46.4,50.2,4.0,83.2,79.2,72.7,-6.5,46,0,48,50,62.9,10.3,16.5,10.3,2024-03-01 00:20:42,68.3,30.8,26.0,42.0
3,2024-03-01 00:30:00,215.2,208.5,0.969,39.5,134.2,20.6,0,32.9,20.8,1291.3,4.0,46.2,50.2,4.2,83.4,79.2,72.7,-6.5,46,0,48,50,64.4,9.9,15.8,10.0,2024-03-01 00:30:42,68.4,30.8,26.1,42.0
4,2024-03-01 00:40:00,192.8,215.7,1.119,41.7,141.5,20.6,0,33.0,20.6,1285.2,3.6,46.3,49.9,4.1,83.1,79.0,72.7,-6.3,46,0,48,50,65.6,9.6,15.3,9.5,2024-03-01 00:40:42,68.6,30.7,26.0,42.0
5,2024-03-01 00:50:00,199.3,199.6,1.002,37.0,125.6,20.6,0,32.8,20.6,1292.5,3.7,46.4,50.1,4.0,83.0,79.0,72.7,-6.3,46,0,48,50,62.9,10.3,16.4,10.3,2024-03-01 00:50:42,68.8,30.6,26.0,42.0
6,2024-03-01 01:00:00,205.5,197.8,0.963,36.8,124.8,19.4,0,32.9,20.6,1264.3,3.9,45.9,49.8,4.0,82.9,78.9,72.7,-6.2,45,0,48,50,63.1,9.8,16.6,10.4,2024-03-01 01:00:42,68.8,30.6,26.0,42.0
7,2024-03-01 01:10:00,210.1,201.6,0.959,37.7,128.9,19.4,0,32.7,20.7,1260.6,4.0,46.3,50.3,4.2,82.9,78.7,72.7,-6.0,45,0,48,50,63.9,9.6,16.2,10.3,2024-03-01 01:10:42,69.1,30.5,25.9,42.0
8,2024-03-01 01:20:00,194.5,204.1,1.049,38.6,131.2,19.1,0,33.0,20.7,1261.9,3.7,46.0,49.7,4.0,82.4,78.4,72.7,-5.7,45,0,48,50,64.3,9.4,16.2,10.2,2024-03-01 01:20:42,69.0,30.5,25.9,42.0
9,2024-03-01 01:30:00,193.4,197.6,1.022,36.8,124.8,19.3,0,33.0,20.5,1254.4,3.7,46.1,49.8,4.0,82.7,78.7,72.7,-6.0,45,0,48,50,63.2,9.7,16.7,10.4,2024-03-01 01:30:42,69.0,30.5,25.9,42.0
10,2024-03-01 01:40:00,194.3,205.5,1.058,39.2,133.1,19.2,0,32.9,20.3,1260.6,3.7,46.1,49.8,3.9,82.6,78.7,72.7,-6.0,45,0,48,50,64.8,9.3,16.0,9.9,2024-03-01 01:40:42,70.0,30.3,25.8,42.0
11,2024-03-01 01:50:00,196.4,207.9,1.058,39.8,135.0,19.2,0,33.1,20.6,1274.2,3.7,46.2,49.9,3.9,82.5,78.6,72.7,-5.9,45,0,48,50,64.9,9.2,15.9,9.9,2024-03-01 01:50:42,70.4,30.1,25.8,42.0
12,2024-03-01 02:00:00,193.0,203.1,1.052,38.4,130.2,19.2,0,32.8,20.9,1251.9,3.7,46.1,49.8,3.9,82.5,78.6,72.7,-5.9,45,0,48,50,64.1,9.4,16.2,10.3,2024-03-01 02:00:42,71.6,29.9,25.8,42.0
